"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C3, C4, C6, C8, C13, C14, C17, C22, C24, C26";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";12;"0.1uF";;;
2;"C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"2.2uF";;;
3;"C9";"CP_EIA-6032-28_Kemet-C_HandSolder";1;"10uF";;;
4;"C15, C16, C18, C23, C25";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"10uF";;;
5;"C19, C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22p";;;
6;"C21";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.01uF";;;
7;"D1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"WS2812B";;;
8;"D2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"USB_LED";;;
9;"D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"3V3_LED";;;
10;"D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"USER_LED";;;
11;"D5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"5V_LED";;;
12;"F1";"Fuse_1812_4532Metric";1;"PTCSMD";;;
13;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
14;"J2";"PinSocket_1x08_P2.54mm_Vertical";1;"CONN_MPU6050";;;
15;"J3";"USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A";1;"USB_C_Receptacle_USB2.0_14P";;;
16;"J4";"PinSocket_2x04_P2.54mm_Vertical";1;"ESP_Conn";;;
17;"J5";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"BATT_CONN";;;
18;"J6";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"M1_CONN";;;
19;"J7";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"M2_CONN";;;
20;"J8";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"ENCODER_CONN";;;
21;"J9";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"MT6701_CONN";;;
22;"R1, R6, R9, R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"1k";;;
23;"R2, R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
24;"R3, R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"22R";;;
25;"R7, R8";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"5.1k";;;
26;"S3";"SW_SLW-66527511-SMT-TR";1;"REGULATOR_SWITCH";;;
27;"S4";"SW_SLW-66527511-SMT-TR";1;"RST_SWITCH";;;
28;"SW2";"SW_uP_Reset";1;"SW_uP_Reset";;;
29;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F401RBTx";;;
30;"U2";"SSOP-24_5.3x8.2mm_P0.65mm";1;"TB6612FNG";;;
31;"U3";"SOT-223-3_TabPin2";1;"LD1117S50TR_SOT223";;;
32;"U5";"SOT-23-6";1;"USBLC6-2SC6";;;
33;"U6";"SOT-223-3_TabPin2";1;"LD1117S33TR_SOT223";;;
34;"Y3";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"16MHz";;;
